Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_100287596,1.1901729252500002,0.96664699425,0.8121903748120907,-0.300110164760246,0.06811213443122238,0.6101687884272359
Gene_11030,2.467319075125,2.663943671,1.0796915963797828,0.11061927913617238,0.0671444571968816,0.6101687884272359
Gene_222223,3.44142790325,3.337972146125,0.9699381303245379,-0.044035370186261955,0.06855080045791091,0.6101687884272359
Gene_506,4.040385030625,3.89470899625,0.9639450118563414,-0.05297724447448928,0.06915563300464042,0.6103820607902549
Gene_6696,4.271943140125,4.528008525875,1.0599411970971382,0.08398422987383955,0.0692128155709606,0.6103820607902549
Gene_109910381,3.5259496849999996,3.720450588875,1.0551626997692114,0.07746547102021545,0.0690442285219879,0.6103820607902549
Gene_55766,2.2116311125,2.418463013375,1.0935200719984444,0.12897970187375113,0.06903900819111328,0.6103820607902549
Gene_84520,1.5402813977499998,1.6505306855000001,1.0715773675583238,0.09973601591575512,0.06919331380725208,0.6103820607902549
Gene_108783645,1.2826286921249999,1.074505129875,0.8377367015662261,-0.25543121496371524,0.06918821122865518,0.6103820607902549
Gene_285440,3.3386015515,3.217991068625,0.9638739511096163,-0.053083601958172216,0.06914177013805863,0.6103820607902549
Gene_7374,2.826137961625,2.953585056125,1.0450958503196068,0.06363526425765152,0.06913174397424855,0.6103820607902549
Gene_9938,2.103382462,2.2549611252500004,1.0720642422328994,0.10039136024888856,0.06893306636559747,0.6103820607902549
Gene_87,2.9691779174999997,3.23203017525,1.0885269475435535,0.12237712328746526,0.0692268796310935,0.6103820607902549
Gene_10947,2.819140917375,2.74532241225,0.9738152482303954,-0.03828000404193225,0.06923607699250629,0.6103820607902549
Gene_653720,2.968406782625,2.7005760092499997,0.9097728872799051,-0.13642165428908917,0.06961292222530775,0.6130071899888274
Gene_10241,3.436761229875,3.5343647537500003,1.0283998559534933,0.04040131320797609,0.06966750196918703,0.6130071899888274
Gene_90120,1.2789218435,1.466281649875,1.1464982456334127,0.19723414731477115,0.06964471615953156,0.6130071899888274
Gene_828,1.798614803875,2.0314997957500003,1.129480192964755,0.1756589712515134,0.06960866925648622,0.6130071899888274
Gene_9677,3.69913790975,3.547717641625,0.9590660657106364,-0.06029789550401499,0.0699579930841053,0.6130173803322585
Gene_57343,2.615064582875,2.727468634,1.0429832792127156,0.060716029199711086,0.06977506439508581,0.6130173803322585
Gene_7702,2.8976818924999996,2.98826706425,1.0312612547238051,0.04440986437238558,0.06987269545595941,0.6130173803322585
Gene_54932,2.265199328875,2.08443351175,0.9201987150443063,-0.11998265300880112,0.0699734367091483,0.6130173803322585
Gene_109864279,4.595666126125,4.748592305375,1.0332761726054598,0.04722590724972506,0.07003621656908393,0.6130173803322585
Gene_102466723,1.354613230875,1.182177547125,0.8727048578739949,-0.19643426700584224,0.0698929205726541,0.6130173803322585
Gene_25854,2.6925669846250004,2.6176019611250005,0.9721585297866079,-0.040736501747571596,0.06985189590500952,0.6130173803322585
Gene_3887,1.9241500495000001,1.662484559375,0.8640098311496054,-0.21088036667675636,0.06984024136255762,0.6130173803322585
Gene_158219,2.875120257,2.690885397125,0.9359209899389611,-0.09554135165399363,0.07000453363144407,0.6130173803322585
Gene_9793,3.911112499125,3.846425003625,0.9834605894066017,-0.02406085489690151,0.06974499117619523,0.6130173803322585
Gene_1820,1.4731755775000002,1.67031715925,1.1338208321947285,0.1811926817915166,0.06992204218291877,0.6130173803322585
Gene_85390,1.08730242575,1.3896546492500002,1.2780755531667682,0.35397312341886294,0.07007142619028617,0.6130330876905055
Gene_51029,1.9459244412499999,2.0408598600000003,1.0487867960017074,0.0687214275689779,0.07016982239021108,0.6133141855204091
Gene_6506,4.2232726947499994,4.0656113905,0.9626684527271966,-0.054889081828885015,0.07017041727937091,0.6133141855204091
Gene_79923,1.4038648865,1.1395680769999998,0.8117362916890648,-0.3009169788859428,0.07029548236265298,0.6141147235358246
Gene_2004,2.25784208525,2.352394118375,1.0418771683558776,0.059185201753279376,0.07066372034769715,0.6142929303387227
Gene_55750,2.9993637196250003,2.90043471025,0.9670166679927138,-0.04838733794306709,0.07055076811729642,0.6142929303387227
Gene_6648,3.2831025755,3.4362118261249996,1.0466355366925086,0.06575914910221743,0.07058626878434279,0.6142929303387227
Gene_64926,1.514351541875,1.723348413,1.1380108022119024,0.18651425204131167,0.07068420232993806,0.6142929303387227
Gene_3420,3.508447526125,3.4035234819999998,0.9700938824526509,-0.04380372161362044,0.07058702756509833,0.6142929303387227
