Gene,Mean_Control,Mean_Disease,FoldChange,log2FoldChange,p_value,adj_p_value
Gene_55330,0.991568799,1.201184717,1.211398259,0.276673243,0.002395332,0.289063952
Gene_2071,3.304181894,3.206083508,0.97031084,-0.043481105,0.002403851,0.289063952
Gene_55905,2.759319403,2.859490986,1.036303004,0.051445894,0.002392668,0.289063952
Gene_7158,3.680323495,3.569761869,0.969958721,-0.044004744,0.002442504,0.28909789
Gene_5355,1.854509054,2.163693537,1.166720396,0.222458861,0.002440655,0.28909789
Gene_100527950,2.199403986,2.39017176,1.086736123,0.120001673,0.003106051,0.299903545
Gene_7494,2.11682271,2.40541213,1.136331408,0.184383654,0.003219423,0.299903545
Gene_23643,1.688904417,2.216919789,1.312637806,0.392468891,0.003396401,0.299903545
Gene_114769,1.839944233,2.207852568,1.199956243,0.262981798,0.002898369,0.299903545
Gene_2000,1.8345312,2.037633612,1.110710797,0.151483222,0.002836957,0.299903545
Gene_64866,1.236947679,1.59358709,1.288322147,0.365493387,0.003362864,0.299903545
Gene_5382,2.964812706,2.778150257,0.937040728,-0.093816339,0.003380039,0.299903545
Gene_3162,2.255694029,2.752252335,1.220135488,0.287041359,0.002756862,0.299903545
Gene_374,0.463930746,1.371590378,2.956455011,1.563868324,0.003212534,0.299903545
Gene_5936,2.705210789,2.801143146,1.035462064,0.050274698,0.002733318,0.299903545
Gene_286257,2.421685929,2.574288176,1.063014879,0.088161791,0.003392239,0.299903545
Gene_64332,2.305400749,2.575996694,1.117374797,0.160113185,0.003063809,0.299903545
Gene_51102,2.554959241,2.420489332,0.947369059,-0.07800154,0.003265135,0.299903545
Gene_8778,1.628385486,1.901790284,1.167899309,0.223915898,0.002993449,0.299903545
Gene_28976,3.341431466,3.231175972,0.967003515,-0.048406961,0.002880077,0.299903545
Gene_7553,2.684394507,2.779457764,1.035413296,0.05020675,0.003004171,0.299903545
Gene_25979,2.268994078,2.136843919,0.941758262,-0.08657131,0.002598259,0.299903545
Gene_6774,3.769896393,3.924721649,1.041068836,0.058065463,0.003365967,0.299903545
Gene_54991,1.726573428,1.55367488,0.899860298,-0.152227053,0.002574497,0.299903545
Gene_963,2.359305209,2.630276109,1.114851991,0.156852189,0.003077956,0.299903545
Gene_8349,3.267305226,3.405987333,1.042445409,0.059971834,0.002674396,0.299903545
Gene_101927897,0.797797966,1.141080827,1.430287962,0.516305636,0.003366001,0.299903545
Gene_26471,1.876668664,2.420458646,1.289763447,0.367106488,0.002619879,0.299903545
Gene_1153,3.473193433,3.148092969,0.906397248,-0.141784614,0.002990812,0.299903545
Gene_1026,2.22568259,2.787797864,1.252558598,0.324878098,0.003318935,0.299903545
