GeneId,GSM5213623,GSM5213624,GSM5213625,GSM5213626,GSM5213627,GSM5213628,GSM5213629,GSM5213630,GSM5213631,GSM5213632,GSM5213633,GSM5213634
Gene_9884,2.154649413,1.920540254,1.884303933,1.885622264,1.731940657,1.478104552,1.808469634,1.589812894,1.974007246,1.368800395,2.083448029,1.987029705
Gene_728806,1.86649754,1.559461564,2.131432598,2.220017645,2.333994233,2.170001198,2.428472515,2.235229175,2.185290517,2.238386326,2.312145337,2.203214157
Gene_51326,2.309140086,2.21508354,2.169738665,2.204871125,2.187062063,2.074974506,2.099325927,2.032233022,1.981110237,1.956698972,2.343787739,2.098160131
Gene_474170,2.059748843,1.904939087,1.85858894,1.776561626,1.652761121,1.48930616,1.735931656,1.524723443,1.56493859,1.260394793,1.979268679,1.842687833
Gene_4905,4.075190674,4.13776319,4.261512682,4.189698352,4.237232879,4.238706182,4.332099835,4.280301052,4.186005782,4.190575239,4.12326553,4.15169616
Gene_7473,2.456664658,2.409350471,2.842734961,2.686160118,2.289575323,2.315619558,2.699359781,2.552279955,2.62681623,2.726644858,2.403121064,2.223717955
Gene_101929777,2.349379253,2.034458962,0,0,0.300799229,0,2.409920157,1.871898857,2.36336746,2.108498485,2.446370403,2.257937792
Gene_7484,1.242674572,0.595338377,1.333549246,0.825326344,0,0.947248221,1.086934665,1.675715775,1.356875578,0.647648122,0,0.72331504
Gene_9570,2.712096571,2.643764422,3.009512951,3.128536709,3.093310497,3.054862694,3.106640447,3.144369182,2.673585015,2.907581106,3.214921793,3.004520341
Gene_101927060,2.302055571,1.854461742,1.791908599,1.959362625,2.020732041,1.925703368,1.746332464,1.48262125,2.206764041,1.428464231,1.514037166,1.803518529
Gene_996,3.189582032,3.202007088,3.221855875,3.145062599,3.23202648,3.154394536,3.3398153,3.30532475,3.265540927,3.279068191,3.16416573,3.216878752
Gene_124989,1.199668084,0.991921488,0.921222965,0.289606165,0.953832172,1.202128832,1.226202207,0.94112344,1.127927369,0.9825778,1.418301816,1.19257238
Gene_653479,1.590131849,1.10565571,1.426410819,1.620836608,1.739909431,1.330944398,1.661477939,1.735216708,1.293099605,0.9825778,1.217686877,1.537172091
