GeneId,GSM2843848,GSM2843849,GSM2843850,GSM2843851,GSM2843852,GSM2843853,GSM2843854,GSM2843855,GSM2843856,GSM2843857,GSM2843858,GSM2843859,GSM2843860,GSM2843861,GSM2843862,GSM2843863
Gene_54674,2.711249965,2.572968002,2.699398181,2.760274039,2.809645947,2.440968745,2.345586293,2.230358997,2.298747456,2.637093191,2.453629451,2.341252195,2.756821788,2.369928599,2.407133396,2.290516362
Gene_9732,3.866422414,3.986553047,4.033481861,4.010754848,3.985426066,3.847770874,3.853931093,3.870489389,3.83927266,3.961191182,3.923469971,3.839606804,4.042436123,3.801319878,3.96059195,3.642058555
Gene_11179,2.514246444,2.61948552,2.737937546,2.817872534,2.749022638,2.625418701,2.617451518,2.518934786,2.461266349,2.779153758,2.550644034,2.398996647,3.096212187,2.579917927,2.557246827,2.441129226
Gene_3475,3.290191219,3.39531722,3.456822623,3.550290566,3.521629432,3.528607634,3.300835866,3.284003938,3.324078844,3.716610285,3.693397809,3.361015892,3.817265465,3.671546026,3.722306022,3.786954589
Gene_286006,1.657281737,1.438273429,1.699603752,1.752034884,1.40399824,1.691704474,1.39051958,1.234090223,1.220833711,1.925648756,2.18943846,1.480740505,0.507700597,1.952827164,1.828044338,2.143476953
Gene_64418,2.489501032,2.591841254,2.62582893,2.730578174,2.67278312,2.423509179,2.451902551,2.3820073,2.546241958,2.49436232,2.245899114,2.412308092,2.851210781,2.311362368,2.405280759,2.037787691
Gene_154743,2.318710587,2.181974312,2.133381749,2.268881687,2.097300647,2.021645684,1.880467777,1.894797971,1.802849186,2.115921086,2.240906978,1.928667305,2.423316379,2.224931606,2.200328222,2.351594776
Gene_54329,2.46815056,2.3364506,2.226275125,2.187567429,2.45658541,1.966982775,2.492567963,2.259601289,2.140435735,2.274597476,2.2869171,2.08601922,1.936642828,2.353985517,2.05707168,2.200852817
Gene_401397,2.676558218,2.559612921,2.735845031,2.885622009,2.753258079,2.548674652,2.501878264,2.618404221,2.558918308,2.755938755,2.524442727,2.449956576,3.323142492,2.353985517,2.614760934,2.457191912
Gene_93986,3.510629928,3.404201148,3.621003828,3.670346705,3.584402672,3.111878428,3.710521611,3.62027243,3.071892153,3.669676955,3.733739912,3.559682917,3.675413863,2.644800591,3.107697743,3.391838229
Gene_29969,2.012878514,2.057986647,2.147157685,2.076028281,2.100018852,2.092569904,1.930448229,1.888801751,1.999894908,1.935222319,1.820178748,2.001965429,2.203162666,2.283624192,2.472248767,1.970737349
Gene_22797,1.824859475,1.954806716,1.960277121,1.844951462,1.953102157,1.8694234,1.625917469,1.684425161,1.55301299,2.192108809,1.948969604,1.86422976,2.577726487,1.947684294,2.088984268,1.773644095
Gene_26136,1.902956006,1.718962794,2.033057953,1.979307034,1.996469013,2.314105436,2.008779101,2.110821487,2.049724641,2.065184058,2.115683682,2.381762229,2.343735513,2.300019299,1.949603338,2.362625629
Gene_858,1.920467504,1.896463197,1.851895919,1.649390909,1.810415919,1.912764456,1.834810663,1.929134228,2.094420992,1.803494579,1.629492168,2.049814782,2.053277758,2.120405056,1.497411658,1.891411088
Gene_857,2.294009623,2.305116658,2.295109617,2.178531598,2.408739569,2.269308589,2.209046248,2.400981008,2.498712386,2.441638808,2.193190648,2.541719622,2.226659428,2.668065775,2.088984268,2.483534763
Gene_4233,2.37644185,3.077922571,2.800675007,2.807269908,2.729116591,2.330175165,2.104837072,2.959230606,2.797853659,2.741389746,3.016694626,2.498257206,2.729854592,2.491948383,2.892893973,1.8613857
Gene_830,3.421348332,3.445966063,3.577045445,3.79301285,3.636646647,3.360694979,3.440424391,3.437230862,3.169877546,3.651318975,3.478208635,3.223290867,4.272338985,3.353473184,3.402621422,3.331406044
Gene_93653,1.198873443,1.245883475,1.176694849,1.205848471,1.156969156,1.218505715,1.185096809,1.143467833,1.057609275,1.252937488,1.116600139,1.387404828,1.321590986,1.730797515,1.112489569,1.361065564
Gene_7982,2.691351302,2.624964918,2.702429171,2.747531189,2.725280454,2.607466285,2.584464328,2.507464918,2.476634328,2.689595447,2.699228072,2.581225454,2.75258392,2.746269719,2.653129817,2.694283457
